,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,478044.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,32.0,168.0,32.0,29-APR-22,47.0,2761.75,37.0,2052618.0,-0.25,71775.71,40.13,208340.0,2786.11,,958951.64,DIVIDEND - RS 7 PER SHARE,2772.0,06-Jun-2022 10:00:00,2772.1,2856.15,2779.5,,2016.25,2771.45,2771.65,14-JUN-21,823656.0,2771.3,No Band,3.5,28-JUL-21,12.23,2772.45,2772.5,2576198.0,2772.55,2772.6,2772.75,-7.05,,,59.0,False,10.0,138.0,38.0,EQ,10.0,14.0,0.0,2780.0,INE002A01018,2772.45
1,3784.15,TCS,13.04,,150524.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,234.0,41.0,24.0,17-JAN-22,31.0,3377.15,98.0,205013.0,-1.59,9103.03,47.19,104715.0,3396.16,,356308.16,DIVIDEND - RS 22 PER SHARE,3385.55,06-Jun-2022 10:00:00,3385.6,4043.0,3440.15,,3122.65,3385.05,3385.15,26-MAY-22,96748.0,3385.0,No Band,3.5,03-JUN-21,9.54,3386.0,3386.8,268039.0,3386.9,3387.0,3387.05,-54.55,,,61.0,False,114.0,23.0,7.0,EQ,1.0,110.0,0.0,3418.0,INE467B01029,3385.6
2,2505.05,HDFC,16.49,,122746.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,21.0,2.0,20.0,15-NOV-21,101.0,2256.05,345.0,352490.0,0.1,10739.44,62.82,132303.0,2272.09,,412024.09,DIVIDEND - RS 30 PER SHARE,2279.35,06-Jun-2022 10:00:00,2279.4,3021.1,2277.35,,2046.0,2279.15,2279.3,01-JUN-22,221437.0,2279.1,No Band,3.5,08-MAR-22,12.99,2279.65,2279.7,472668.0,2280.0,2280.15,2280.2,2.3,,,4.0,False,45.0,55.0,91.0,EQ,2.0,16.0,0.0,2257.0,INE001A01036,2279.65
3,523.05,WIPRO,15.7,,660809.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,2155.0,1426.0,920.0,14-OCT-21,377.0,464.2,105.0,1560929.0,-1.76,9708.24,52.57,596120.0,467.03,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,467.0,06-Jun-2022 10:00:00,467.05,739.85,475.5,,443.2,466.9,466.95,06-APR-22,820506.0,466.85,No Band,3.5,25-MAY-22,12.2,467.15,467.2,2078718.0,467.25,467.3,467.35,-8.35,,,956.0,False,189.0,627.0,37.0,EQ,2.0,1918.0,0.0,472.0,INE075A01022,467.15
4,299.95,ITC,13.96,,1803809.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,986.0,1207.0,2007.0,20-MAY-22,105.0,269.7,756.0,1539561.0,-0.46,5811.54,60.46,1144596.0,271.16,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.4,06-Jun-2022 10:00:00,271.45,282.35,272.7,,200.9,271.3,271.35,28-MAY-22,930886.0,271.25,No Band,3.5,09-JUL-21,10.46,271.5,271.55,2143215.0,271.6,271.65,271.7,-1.25,,,3956.0,False,4862.0,3784.0,310.0,EQ,1.0,8243.0,0.0,272.4,INE154A01025,271.45
5,166.75,ONGC,19.63,,1998864.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,21113.0,34714.0,15656.0,08-MAR-22,51491.0,152.8,2818.0,10704676.0,2.28,23165.5,50.69,1743714.0,154.29,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.95,06-Jun-2022 10:00:00,155.0,194.95,151.6,,108.5,154.85,154.9,22-FEB-22,5426272.0,154.8,No Band,3.5,23-AUG-21,16.13,155.05,155.1,15014262.0,155.15,155.2,155.25,3.45,,,9157.0,False,4477.0,449.0,119.0,EQ,5.0,18393.0,0.0,153.1,INE213A01029,155.05
6,447.4,HINDALCO,21.46,23-AUG-21,738116.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.95,406.75,17.96,366.1,1163.0,609.0,2165.0,29-MAR-22,724.0,395.95,3003.0,2673332.0,-0.42,13899.87,47.38,1031636.0,402.2,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,404.95,06-Jun-2022 10:00:00,405.0,636.0,406.75,,359.8,404.85,404.9,,1266573.0,404.8,No Band,3.5,18-JUN-21,17.96,405.05,405.1,3455960.0,405.15,405.2,405.25,-1.70,,,1041.0,False,619.0,114.0,875.0,EQ,1.0,2854.0,0.0,402.6,INE038A01020,405.05
7,170.5,NTPC,15.2,,1539687.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,20766.0,18970.0,7702.0,19-APR-22,1545.0,155.2,1559.0,3904767.0,2.0,9883.06,59.92,1599458.0,156.94,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.0,06-Jun-2022 10:00:00,158.05,166.35,155.0,,110.45,157.9,157.95,05-FEB-22,2339862.0,157.85,No Band,3.5,03-JUN-21,11.7,158.1,158.15,6297352.0,158.2,158.25,158.3,3.1,,,22560.0,False,11154.0,11405.0,1051.0,EQ,10.0,43465.0,0.0,155.8,INE733E01010,158.1
8,130.1,IOC,15.19,,1700600.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,27975.0,32361.0,32888.0,09-NOV-21,4293.0,116.7,4020.0,2102228.0,-0.76,3169.03,52.34,1971076.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.3,06-Jun-2022 10:00:00,117.35,141.5,118.3,,101.9,117.2,117.25,10-FEB-22,1100271.0,117.15,No Band,3.5,10-AUG-21,11.69,117.4,117.45,2703492.0,117.5,117.55,117.6,-0.90,,,98540.0,False,17450.0,3373.0,933.0,EQ,10.0,24658.0,0.0,118.3,INE242A01010,117.4
9,1473.35,GRASIM,16.84,27-AUG-21,129285.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,33.0,32.0,58.0,18-JAN-22,19.0,1316.3,129.0,547454.0,-0.77,9878.5,56.13,131953.0,1329.5,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1329.1,06-Jun-2022 10:00:00,1329.15,1929.8,1339.45,,1316.3,1329.0,1329.05,,307277.0,1328.9,No Band,3.5,06-JUN-22,13.34,1329.2,1329.25,743024.0,1329.3,1329.35,1329.45,-10.25,,,1246.0,False,2539.0,5.0,15.0,EQ,2.0,7.0,0.0,1334.0,INE047A01021,1329.2
