,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,467475.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,30.0,14.0,90.0,29-APR-22,81.0,2761.75,127.0,2052618.0,-0.06,67269.76,40.13,219788.0,2787.09,,958951.64,DIVIDEND - RS 7 PER SHARE,2776.8,06-Jun-2022 10:00:00,2777.0,2856.15,2779.5,,2016.25,2776.6,2776.65,14-JUN-21,823656.0,2776.55,No Band,3.5,28-JUL-21,12.23,2777.95,2778.0,2413620.0,2778.05,2778.1,2778.2,-1.55,,,14.0,False,13.0,34.0,2413.0,EQ,10.0,3.0,0.0,2780.0,INE002A01018,2777.95
1,3784.15,TCS,13.04,,123019.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,50.0,25.0,90.0,17-JAN-22,37.0,3380.0,41.0,205013.0,-1.44,8183.65,47.19,106058.0,3397.79,,356308.16,DIVIDEND - RS 22 PER SHARE,3390.0,06-Jun-2022 10:00:00,3390.75,4043.0,3440.15,,3122.65,3389.7,3389.85,26-MAY-22,96748.0,3389.45,No Band,3.5,03-JUN-21,9.54,3390.8,3391.0,240852.0,3391.4,3391.75,3391.8,-49.40,,,49.0,False,42.0,12.0,5.0,EQ,1.0,10.0,0.0,3418.0,INE467B01029,3390.75
2,2505.05,HDFC,16.49,,117452.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,21.0,25.0,17.0,15-NOV-21,119.0,2256.05,179.0,352490.0,0.14,9933.93,62.82,132911.0,2271.48,,412024.09,DIVIDEND - RS 30 PER SHARE,2279.65,06-Jun-2022 10:00:00,2280.0,3021.1,2277.35,,2046.0,2279.55,2279.6,01-JUN-22,221437.0,2279.45,No Band,3.5,08-MAR-22,12.99,2280.45,2280.5,437333.0,2280.75,2280.8,2280.85,3.1,,,21.0,False,45.0,3.0,718.0,EQ,2.0,1.0,0.0,2257.0,INE001A01036,2280.45
3,523.05,WIPRO,15.7,,563565.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,2900.0,183.0,297.0,14-OCT-21,20.0,464.2,571.0,1560929.0,-1.81,8956.81,52.57,582822.0,467.09,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.7,06-Jun-2022 10:00:00,466.75,739.85,475.5,,443.2,466.6,466.65,06-APR-22,820506.0,466.55,No Band,3.5,25-MAY-22,12.2,466.9,466.95,1917577.0,467.0,467.05,467.1,-8.60,,,1070.0,False,1375.0,1714.0,936.0,EQ,2.0,2318.0,0.0,472.0,INE075A01022,466.9
4,299.95,ITC,13.96,,1770011.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,9505.0,4395.0,891.0,20-MAY-22,1394.0,269.7,1264.0,1539561.0,-0.33,5346.61,60.46,1144018.0,271.11,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.75,06-Jun-2022 10:00:00,271.8,282.35,272.7,,200.9,271.65,271.7,28-MAY-22,930886.0,271.6,No Band,3.5,09-JUL-21,10.46,271.85,271.9,1972118.0,271.95,272.0,272.05,-0.90,,,5799.0,False,859.0,1245.0,2208.0,EQ,1.0,8034.0,0.0,272.4,INE154A01025,271.8
5,166.75,ONGC,19.63,,1926768.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,14287.0,18021.0,7958.0,08-MAR-22,18372.0,152.8,587.0,10704676.0,2.21,21825.69,50.69,1707329.0,154.26,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,154.85,06-Jun-2022 10:00:00,154.9,194.95,151.6,,108.5,154.75,154.8,22-FEB-22,5426272.0,154.7,No Band,3.5,23-AUG-21,16.13,154.95,155.0,14148637.0,155.05,155.1,155.15,3.35,,,27504.0,False,27693.0,7730.0,6035.0,EQ,5.0,29611.0,0.0,153.1,INE213A01029,154.95
6,447.4,HINDALCO,21.46,23-AUG-21,757317.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.2,406.75,17.96,366.1,770.0,960.0,3024.0,29-MAR-22,1043.0,395.95,8688.0,2673332.0,-0.32,12768.85,47.38,928550.0,401.9,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,405.4,06-Jun-2022 10:00:00,405.45,636.0,406.75,,359.8,405.3,405.35,,1266573.0,405.25,No Band,3.5,18-JUN-21,17.96,405.5,405.55,3177121.0,405.6,405.65,405.7,-1.30,,,3992.0,False,130.0,533.0,7.0,EQ,1.0,2284.0,0.0,402.6,INE038A01020,405.45
7,170.5,NTPC,15.2,,1468001.0,,NTPC Limited,N,03-FEB-22,,Listed,158.45,155.0,11.7,139.5,30700.0,41348.0,15897.0,19-APR-22,10596.0,155.2,3989.0,3904767.0,2.16,9048.42,59.92,1606022.0,156.84,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,158.25,06-Jun-2022 10:00:00,158.3,166.35,155.0,,110.45,158.15,158.2,05-FEB-22,2339862.0,158.1,No Band,3.5,03-JUN-21,11.7,158.35,158.4,5769206.0,158.45,158.5,158.55,3.35,,,12082.0,False,14738.0,1311.0,294.0,EQ,10.0,26740.0,0.0,155.8,INE733E01010,158.35
8,130.1,IOC,15.19,,1686611.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,29762.0,30024.0,19046.0,09-NOV-21,7001.0,116.7,972.0,2102228.0,-0.76,3038.85,52.34,1953683.0,117.22,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.3,06-Jun-2022 10:00:00,117.35,141.5,118.3,,101.9,117.2,117.25,10-FEB-22,1100271.0,117.15,No Band,3.5,10-AUG-21,11.69,117.4,117.45,2592436.0,117.5,117.55,117.6,-0.90,,,103102.0,False,13816.0,5610.0,429.0,EQ,10.0,25483.0,0.0,118.3,INE242A01010,117.4
9,1473.35,GRASIM,16.84,27-AUG-21,123607.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1340.0,1339.45,13.34,1205.55,117.0,1.0,1.0,18-JAN-22,71.0,1316.3,12.0,547454.0,-0.27,9285.97,56.13,137298.0,1329.4,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1335.7,06-Jun-2022 10:00:00,1335.8,1929.8,1339.45,,1316.3,1335.55,1335.6,,307277.0,1335.5,No Band,3.5,06-JUN-22,13.34,1335.85,1335.95,698508.0,1336.45,1336.5,1336.55,-3.55,,,70.0,False,37.0,75.0,63.0,EQ,2.0,48.0,0.0,1334.0,INE047A01021,1335.9
